lower,upper,count,mean_confidence,exact_accuracy,gap
0.00000000,0.10000000,0,,,
0.10000000,0.20000000,0,,,
0.20000000,0.30000000,0,,,
0.30000000,0.40000000,0,,,
0.40000000,0.50000000,0,,,
0.50000000,0.60000000,0,,,
0.60000000,0.70000000,0,,,
0.70000000,0.80000000,0,,,
0.80000000,0.90000000,20,0.85822827,0.80000000,0.05822827
0.90000000,1.00000000,180,0.96837896,0.93333333,0.03504562
